signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,found,report_sig,report_score,report_pos,mismatches
10000,1024,32,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,0.002536,0.002552,0.101,96.047,2,0.000,0,,,,0
10000,1024,32,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,2,0.002537,0.002552,0.101,95.597,2,0.000,0,,,,0
10000,1024,32,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3,0.002536,0.002550,0.202,95.597,3,0.000,0,,,,0
10000,1024,32,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,4,0.002536,0.002551,0.101,95.597,2,0.000,0,,,,0
10000,1024,32,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,5,0.002536,0.002550,0.201,95.597,3,0.000,0,,,,0
100000,1024,32,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,0.002018,0.002033,0.101,95.866,2,0.000,0,,,,0
100000,1024,32,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,2,0.002018,0.002033,0.101,95.866,2,0.000,0,,,,0
100000,1024,32,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3,0.002016,0.002031,0.101,95.866,2,0.000,0,,,,0
100000,1024,32,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,4,0.002017,0.002031,0.101,95.866,2,0.000,0,,,,0
100000,1024,32,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,5,0.002016,0.002032,0.101,95.866,2,0.000,0,,,,0
100000,1024,32,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,0.005660,0.005676,0.408,97.600,5,0.000,0,,,,0
100000,1024,32,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,2,0.005660,0.005675,0.515,97.600,6,0.000,0,,,,0
100000,1024,32,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3,0.005659,0.005673,0.514,97.600,6,10.792,0,,,,0
100000,1024,32,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,4,0.005659,0.005675,0.514,97.600,6,0.000,0,,,,0
100000,1024,32,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,5,0.005659,0.005673,0.409,97.600,5,0.000,0,,,,0
1000000,1024,32,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,0.019999,0.020015,1.875,99.012,19,12.606,0,,,,0
1000000,1024,32,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,2,0.019996,0.020011,1.907,100.596,19,0.000,0,,,,0
1000000,1024,32,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,3,0.020002,0.020016,1.907,100.684,19,0.000,0,,,,0
1000000,1024,32,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,4,0.020006,0.020020,1.907,100.684,19,0.000,0,,,,0
1000000,1024,32,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,5,0.020003,0.020017,1.908,100.684,19,0.000,0,,,,0
1000000,1024,32,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,0.048278,0.048295,4.882,103.102,46,14.163,0,,,,0
1000000,1024,32,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,2,0.048267,0.048283,4.965,104.837,46,19.278,0,,,,0
1000000,1024,32,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,3,0.048274,0.048290,5.054,106.721,46,0.000,0,,,,0
1000000,1024,32,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,4,0.048276,0.048292,5.325,112.466,46,17.829,0,,,,0
1000000,1024,32,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,5,0.048272,0.048288,5.525,116.632,46,0.000,0,,,,0
10000000,1024,32,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,1,0.195527,0.195549,21.492,110.330,186,43.262,0,,,,0
10000000,1024,32,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,2,0.195523,0.195541,27.000,138.619,186,43.261,0,,,,0
10000000,1024,32,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,3,0.195521,0.195538,32.756,168.148,186,43.033,0,,,,0
10000000,1024,32,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,4,0.195856,0.195893,38.346,196.918,186,43.334,0,,,,0
10000000,1024,32,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,5,0.195524,0.195546,41.972,215.541,186,43.514,0,,,,0
10000000,1024,32,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,1,0.473230,0.473252,76.878,162.661,450,81.125,0,,,,0
10000000,1024,32,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,2,0.473118,0.473160,94.944,201.330,449,101.909,0,,,,0
10000000,1024,32,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,3,0.473118,0.473143,95.884,203.330,449,101.914,0,,,,0
10000000,1024,32,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,4,0.473121,0.473143,95.914,203.394,449,101.936,0,,,,0
