alphabet,mode,payload,sig_len,signatures,alpha,seed,planted,found,report_sig,report_score,report_pos,mismatches
lower26,literal,512,16,10000,0.80,127,0,0,,,,0
lower26,literal,512,16,10000,0.80,128,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,128,0,0,,,,0
lower26,literal,512,16,10000,0.80,129,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,129,0,0,,,,0
lower26,literal,512,16,10000,0.80,130,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,130,0,0,,,,0
lower26,literal,512,16,10000,0.80,131,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,131,0,0,,,,0
lower26,literal,512,16,10000,0.80,132,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,132,0,0,,,,0
lower26,literal,512,16,10000,0.80,133,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,133,0,0,,,,0
lower26,literal,512,16,10000,0.80,134,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,134,0,0,,,,0
lower26,literal,512,16,10000,0.80,135,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,135,0,0,,,,0
lower26,literal,512,16,10000,0.80,136,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,136,0,0,,,,0
lower26,literal,512,16,10000,0.80,137,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,137,0,0,,,,0
lower26,literal,512,16,10000,0.80,138,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,138,0,0,,,,0
lower26,literal,512,16,10000,0.80,139,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,139,0,0,,,,0
lower26,literal,512,16,10000,0.80,140,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,140,0,0,,,,0
lower26,literal,512,16,10000,0.80,141,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,141,0,0,,,,0
lower26,literal,512,16,10000,0.80,142,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,142,0,0,,,,0
lower26,literal,512,16,10000,0.80,143,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,143,0,0,,,,0
lower26,literal,512,16,10000,0.80,144,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,144,0,0,,,,0
lower26,literal,512,16,10000,0.80,145,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,145,0,0,,,,0
lower26,literal,512,16,10000,0.80,146,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,146,0,0,,,,0
lower26,literal,512,16,10000,0.80,147,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,147,0,0,,,,0
lower26,literal,512,16,10000,0.80,148,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,148,0,0,,,,0
lower26,literal,512,16,10000,0.80,149,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,149,0,0,,,,0
lower26,literal,512,16,10000,0.80,150,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,150,0,0,,,,0
lower26,literal,512,16,10000,0.80,151,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,151,0,0,,,,0
lower26,literal,512,16,10000,0.80,152,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,152,0,0,,,,0
lower26,literal,512,16,10000,0.80,153,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,153,0,0,,,,0
lower26,literal,512,16,10000,0.80,154,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,154,0,0,,,,0
lower26,literal,512,16,10000,0.80,155,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,155,0,0,,,,0
lower26,literal,512,16,10000,0.80,156,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,156,0,0,,,,0
lower26,literal,512,16,10000,0.80,157,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,157,0,0,,,,0
lower26,literal,512,16,10000,0.80,158,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,158,0,0,,,,0
lower26,literal,512,16,10000,0.80,159,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,159,0,0,,,,0
lower26,literal,512,16,10000,0.80,160,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,160,0,0,,,,0
lower26,literal,512,16,10000,0.80,161,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,161,0,0,,,,0
lower26,literal,512,16,10000,0.80,162,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,162,0,0,,,,0
lower26,literal,512,16,10000,0.80,163,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,163,0,0,,,,0
lower26,literal,512,16,10000,0.80,164,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,164,0,0,,,,0
lower26,literal,512,16,10000,0.80,165,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,165,0,0,,,,0
lower26,literal,512,16,10000,0.80,166,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,166,0,0,,,,0
lower26,literal,512,16,10000,0.80,167,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,167,0,0,,,,0
lower26,literal,512,16,10000,0.80,168,1,1,1356,13,10,0
lower26,literal,512,16,10000,0.80,168,0,0,,,,0
lower26,literal,512,16,10000,0.80,169,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,169,0,0,,,,0
lower26,literal,512,16,10000,0.80,170,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,170,0,0,,,,0
lower26,literal,512,16,10000,0.80,171,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,171,0,0,,,,0
lower26,literal,512,16,10000,0.80,172,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,172,0,0,,,,0
lower26,literal,512,16,10000,0.80,173,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,173,0,0,,,,0
lower26,literal,512,16,10000,0.80,174,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,174,0,0,,,,0
lower26,literal,512,16,10000,0.80,175,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,175,0,0,,,,0
lower26,literal,512,16,10000,0.80,176,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,176,0,0,,,,0
lower26,literal,512,16,10000,0.80,177,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,177,0,0,,,,0
lower26,literal,512,16,10000,0.80,178,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,178,0,0,,,,0
lower26,literal,512,16,10000,0.80,179,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,179,0,0,,,,0
lower26,literal,512,16,10000,0.80,180,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,180,0,0,,,,0
lower26,literal,512,16,10000,0.80,181,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,181,0,0,,,,0
lower26,literal,512,16,10000,0.80,182,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,182,0,0,,,,0
lower26,literal,512,16,10000,0.80,183,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,183,0,0,,,,0
lower26,literal,512,16,10000,0.80,184,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,184,0,0,,,,0
lower26,literal,512,16,10000,0.80,185,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,185,0,0,,,,0
lower26,literal,512,16,10000,0.80,186,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,186,0,0,,,,0
lower26,literal,512,16,10000,0.80,187,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,187,0,0,,,,0
lower26,literal,512,16,10000,0.80,188,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,188,0,0,,,,0
