nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,1,0.058265,0.065179,4.424,68.847,62,8.254,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,2,0.058272,0.065133,4.920,76.683,62,8.956,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,3,0.058256,0.065051,5.838,90.857,62,9.006,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,4,0.058240,0.065019,5.955,94.233,61,0.000,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,5,0.061472,0.068241,5.408,80.301,65,8.830,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,1,0.455149,0.483489,39.080,81.033,459,42.085,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,2,0.455049,0.483297,39.120,81.118,459,42.275,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,3,0.490944,0.519144,40.270,77.731,493,39.975,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,4,0.504680,0.532895,41.141,77.361,506,37.813,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,5,0.504677,0.532962,39.259,73.684,507,38.526,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,1,0.504820,0.534073,39.305,73.629,508,38.503,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,2,0.504752,0.533731,40.492,76.145,506,45.356,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,3,0.504763,0.533800,39.742,74.591,507,38.108,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,4,0.504729,0.533845,39.045,73.429,506,45.718,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,5,0.504727,0.533712,41.170,77.266,507,37.809,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,1,3.352430,3.465222,328.772,94.913,3290,333.173,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,2,3.847354,3.960129,310.149,78.324,3761,309.826,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,3,3.858753,3.971603,307.217,77.376,3771,306.158,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,4,3.858706,3.971481,308.839,77.783,3771,307.211,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,5,3.858734,3.971178,307.189,77.388,3770,306.764,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,1,3.858759,3.974384,306.885,77.230,3771,306.265,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,2,3.537296,3.652475,323.809,88.684,3468,330.983,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,3,3.724214,3.839304,318.699,83.022,3646,317.356,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,4,3.858738,3.973726,307.978,77.528,3773,307.117,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,5,3.858756,3.973628,307.901,77.507,3773,306.285,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,1,29.998055,30.449111,2454.356,80.607,28910,2452.615,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,2,29.941586,30.391777,2459.456,80.927,28851,2459.479,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,3,29.976109,30.426637,2455.369,80.703,28884,2455.837,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,4,29.940330,30.390560,2460.488,80.966,28844,2461.153,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,5,29.941947,30.392377,2460.851,80.973,28853,2461.484,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,1,29.939959,30.401117,2462.261,80.995,28860,2462.730,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,2,30.001313,30.462376,2461.245,80.799,28920,2457.158,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,3,29.941061,30.401758,2458.877,80.883,28858,2457.460,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,4,29.998459,30.458699,2461.406,80.810,28914,2457.264,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,5,29.942461,30.403365,2461.751,80.971,28867,2463.584,0
