alphabet,mode,payload,sig_len,signatures,alpha,seed,planted,found,report_sig,report_score,report_pos,mismatches
lower26,literal,512,16,10000,0.60,1,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,1,0,0,,,,0
lower26,literal,512,16,10000,0.60,2,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,2,0,0,,,,0
lower26,literal,512,16,10000,0.60,3,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,3,0,0,,,,0
lower26,literal,512,16,10000,0.60,4,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,4,0,0,,,,0
lower26,literal,512,16,10000,0.60,5,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,5,0,0,,,,0
lower26,literal,512,16,10000,0.60,6,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,6,0,0,,,,0
lower26,literal,512,16,10000,0.60,7,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,7,0,0,,,,0
lower26,literal,512,16,10000,0.60,8,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,8,0,0,,,,0
lower26,literal,512,16,10000,0.60,9,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,9,0,0,,,,0
lower26,literal,512,16,10000,0.60,10,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,10,0,0,,,,0
lower26,literal,512,16,10000,0.60,11,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,11,0,0,,,,0
lower26,literal,512,16,10000,0.60,12,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,12,0,0,,,,0
lower26,literal,512,16,10000,0.60,13,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,13,0,0,,,,0
lower26,literal,512,16,10000,0.60,14,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,14,0,0,,,,0
lower26,literal,512,16,10000,0.60,15,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,15,0,0,,,,0
lower26,literal,512,16,10000,0.60,16,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,16,0,0,,,,0
lower26,literal,512,16,10000,0.60,17,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,17,0,0,,,,0
lower26,literal,512,16,10000,0.60,18,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,18,0,0,,,,0
lower26,literal,512,16,10000,0.60,19,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,19,0,0,,,,0
lower26,literal,512,16,10000,0.60,20,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,20,0,0,,,,0
