nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2000,5,0.023504,0.024327,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2000,1,0.023278,0.024105,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2000,2,0.023278,0.024096,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2000,3,0.023297,0.024113,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2000,4,0.023363,0.024185,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2000,5,0.023372,0.024189,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,1,0.055823,0.057730,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,2,0.055762,0.057675,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,3,0.055758,0.057688,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,4,0.055809,0.057759,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,5,0.055859,0.057806,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,1,0.056481,0.058372,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,2,0.056285,0.058217,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,3,0.056433,0.058370,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,4,0.056544,0.058497,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,5,0.056338,0.058278,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,1,0.466250,0.473813,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,2,0.466250,0.473770,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,3,0.466598,0.474350,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,4,0.466223,0.473794,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,5,0.466191,0.473723,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,1,0.460888,0.468623,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,2,0.460600,0.468123,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,3,0.460448,0.467985,,,0,0
